year,id,work_status,hours_worked_last_week,works_for,marital_status,siblings,children,age,age_when_firstchild_born,years_education,degree,major,sex,race,residence_type,family_living_location_when_sixteen,family_income_when_sixteen,born_in_US,number_grandparents_born_outside_US,total_family_income,region_of_interview,party_id,remember_voting_in_2016,Hillary_or_Trump,if_you__would_have_ voted_who_for,political_views,money_space_exploration_program,money_improve_protect_environment,money_improve_protect_health,money_helping_bigcities,money_decrease_crime,money_addressing_drug_addiction,money_improving_education,money_improving_conditions_blacks,money_national_defense,money_on_foreign_aid,money_on_welfare,should_gov_reduce_income_inequality,permit_to_buy_gun,should be legal_marijuana,attend_religious_services,happiness,personal_health,sex_education_public_schools,premarital_sex,sometimes_hard_spanking_child_necessary,gun_in_home,read_newspaper
2022,1678,unemployed,NA,self-employed,divorced,4,4,37,21,7,less than high school,NA,MALE,WHITE,farm,middle atlantic,average,yes,0,NA,south atlantic,Independent/Democrat,ineligible,NA,Trump,moderate/middle of road,too little,too little,too little,too much,too little,too little,too little,too little,too little,about right,too much,4,NA,should be legal,about once or twice a year,not too happy,good,in favor,wrong only sometimes,NA,NA,less than once a week
2022,1679,full time,40,self-employed,married,2,3,32,20,12,high school,NA,MALE,WHITE,small city or town,south atlantic,average,yes,0,$30k-$35k,south atlantic,Republican,did not vote,NA,Trump,moderate/middle of road,too much,too little,too little,about right,too little,too little,too little,about right,about right,about right,too little,1,NA,NA,about once a month,pretty happy,good,oppose,wrong only sometimes,agree,NA,never
2022,1680,part time,25,someone else,divorced,0,2,57,22,14,high school,NA,MALE,WHITE,large city (over 250k),east south atlantic,average,yes,0,$15k to $17.5k,east south central,Independent/Republican,did not vote,NA,Trump,moderate/middle of road,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,several times a year,not too happy,excellent,in favor,almost always wrong,agree,NA,never
2022,1681,full time,40,someone else,never married,3,3,36,21,12,high school,NA,FEMALE,WHITE,medium-sized city (50-250k),east south atlantic,below average,yes,0,$40k to $50k,east south central,Republican,did not vote,NA,Trump,slightly conservative,about right,too little,too little,too little,too little,too little,too little,too little,too little,too much,NA,3,oppose,should be legal,several times a year,not too happy,good,NA,NA,NA,yes,NA
2022,1682,full time,58,someone else,never married,2,1,28,26,12,high school,NA,MALE,WHITE,small city or town,east south atlantic,average,yes,0,$25k to $30k,east south central,Republican,ineligible,NA,Trump,conservative,too little,about right,too little,too little,about right,too little,too little,too little,too much,too much,too much,1,NA,NA,never,very happy,good,in favor,not wrong at all,disagree,NA,never
2022,1683,in school,NA,someone else,divorced,4,2,66,24,12,high school,NA,MALE,OTHER,medium-sized city (50-250k),east south atlantic,above average,yes,0,$15k to $17.5k,east south central,Independent/Republican,did not vote,NA,Clinton,conservative,too little,too little,too little,about right,too little,too little,too little,too little,about right,too much,too little,7,favor,should be legal,never,not too happy,fair,NA,NA,NA,no,NA
2022,1684,part time,35,someone else,divorced,2,1,48,23,12,high school,NA,FEMALE,WHITE,open country but not a farm,east south atlantic,below average,yes,0,$12.5k to $15k,east south central,Independent/Republican,did not vote,NA,Don't know/can't remember,moderate/middle of road,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,oppose,NA,never,very happy,good,NA,NA,NA,no,NA
2022,1685,keeping house,NA,NA,separated,6,2,23,20,6,less than high school,NA,FEMALE,OTHER,open country but not a farm,foreign,far below average,no,4,$25k to $30k,east south central,Independent,ineligible,NA,Don't know/can't remember,extremely liberal,NA,about right,too much,about right,about right,NA,too much,too much,NA,too much,too much,7,NA,should be legal,never,not too happy,good,in favor,almost always wrong,agree,NA,never
2022,1686,full time,41,someone else,married,4,1,36,27,12,high school,NA,MALE,OTHER,open country but not a farm,foreign,far below average,no,4,$35k to $40k,east south central,Republican,ineligible,NA,Trump,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,favor,NA,every week,pretty happy,excellent,NA,NA,NA,no,NA
2022,1687,in school,NA,someone else,married,10,2,77,21,12,high school,NA,MALE,WHITE,suburb near large city,south atlantic,average,yes,0,$35k to $40k,east south central,Independent/Republican,voted,Trump,NA,moderate/middle of road,too little,too much,too much,about right,too little,too much,too little,too much,about right,too much,too much,4,NA,NA,less than once a year,very happy,good,in favor,not wrong at all,agree,NA,never
2022,1688,keeping house,NA,NA,separated,12,4,67,17,11,less than high school,NA,FEMALE,WHITE,small city or town,east north central,below average,yes,0,$20k to $22.5k,east south central,NA,voted,Trump,NA,slightly conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,favor,should be legal,never,pretty happy,good,NA,NA,NA,no,NA
2022,1689,full time,40,someone else,married,3,1,28,26,12,high school,NA,FEMALE,WHITE,small city or town,east north central,average,yes,0,$90k to $110k,east north central,Independent,did not vote,NA,Don't know/can't remember,moderate/middle of road,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,should be legal,every week,pretty happy,fair,in favor,not wrong at all,disagree,NA,never
2022,1690,unemployed,NA,someone else,never married,3,0,21,NA,12,less than high school,NA,MALE,BLACK,small city or town,east north central,above average,yes,0,$35k to $40k,east north central,Independent/Democrat,ineligible,NA,Trump,moderate/middle of road,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,should be legal,2-3 times a month,very happy,fair,in favor,not wrong at all,strongly agree,NA,never
2022,1691,in school,NA,someone else,married,1,2,79,23,12,high school,NA,MALE,WHITE,suburb near large city,east north central,average,yes,NA,$35k to $40k,east north central,Independent/Republican,voted,Trump,NA,conservative,NA,too much,too little,too much,too little,too little,too little,too much,too little,too much,NA,7,oppose,should not be legal,about once or twice a year,very happy,fair,NA,NA,NA,yes,NA
2022,1692,full time,40,someone else,never married,0,0,35,NA,16,bachelors,business administration,FEMALE,WHITE,small city or town,east north central,below average,yes,0,$90k to $110k,east north central,Independent/Democrat,voted,Clinton,NA,liberal,too little,too little,too little,too little,too little,too little,too little,too little,too much,too much,too little,NA,favor,NA,never,not too happy,good,in favor,not wrong at all,strongly disagree,yes,every day
2022,1693,keeping house,NA,someone else,married,1,0,23,NA,14,associate,business administration,FEMALE,OTHER,large city (over 250k),foreign,far below average,no,4,$90k to $110k,east north central,Republican,ineligible,NA,Don't know/can't remember,moderate/middle of road,about right,too little,about right,about right,about right,about right,too little,about right,too much,too much,too much,NA,favor,NA,every week,pretty happy,excellent,in favor,not wrong at all,strongly disagree,yes,less than once a week
2022,1694,full time,40,self-employed,never married,2,0,64,NA,12,high school,NA,MALE,WHITE,open country but not a farm,east north central,average,yes,0,$75k to $90k,east north central,Republican,voted,Trump,NA,extremely conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,oppose,NA,never,pretty happy,good,oppose,not wrong at all,agree,NA,every day
2022,1695,in school,NA,someone else,widowed,1,2,74,26,12,high school,NA,MALE,WHITE,medium-sized city (50-250k),east north central,above average,yes,2,$50k to $60k,east north central,Republican,voted,Trump,NA,conservative,too little,about right,about right,too much,too little,about right,too much,too much,too little,too much,too much,7,oppose,NA,never,not too happy,good,NA,NA,NA,no,NA
2022,1696,in school,NA,someone else,divorced,3,3,65,28,14,associate,general sciences,FEMALE,WHITE,suburb near large city,east north central,above average,yes,0,$22.5k to $25k,east north central,Independent,voted,Other,NA,moderate/middle of road,about right,too little,too little,too little,too little,too little,too little,too little,too little,about right,too little,3,favor,NA,never,not too happy,fair,NA,NA,NA,no,NA
2022,1697,full time,40,someone else,divorced,2,3,60,23,12,high school,NA,FEMALE,WHITE,open country but not a farm,east north central,below average,yes,0,$75k to $90k,east north central,Independent,voted,Clinton,NA,moderate/middle of road,too little,too little,too little,too much,too little,too little,about right,too much,too little,too much,too much,5,NA,NA,never,very happy,good,in favor,not wrong at all,disagree,NA,less than once a week
2022,1698,in school,NA,someone else,married,5,3,78,28,12,high school,NA,MALE,WHITE,suburb near large city,foreign,below average,no,4,$50k to $60k,east north central,Independent,ineligible,NA,Don't know/can't remember,moderate/middle of road,about right,about right,too much,about right,too little,about right,about right,too much,about right,too much,too much,NA,favor,NA,never,pretty happy,good,oppose,not wrong at all,agree,no,never
2022,1699,part time,0,someone else,never married,9,0,50,NA,8,less than high school,NA,MALE,WHITE,large city (over 250k),foreign,far below average,no,4,$10k to $12.5k,east north central,Democrat,did not vote,NA,Clinton,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,should be legal,about once or twice a year,very happy,fair,in favor,wrong only sometimes,disagree,NA,never
2022,1700,full time,45,someone else,never married,15,4,30,20,14,associate,finance,FEMALE,BLACK,medium-sized city (50-250k),east north central,above average,yes,4,$40k to $50k,east north central,Democrat,did not vote,NA,Clinton,NA,too much,too little,too little,too little,too little,about right,too little,too little,too much,too little,too much,NA,oppose,NA,never,pretty happy,excellent,in favor,not wrong at all,strongly agree,no,never
2022,1701,part time,89,someone else,never married,6,0,34,NA,12,high school,NA,MALE,BLACK,small city or town,east north central,average,yes,0,$12.5k to $15k,east north central,Independent,voted,Clinton,NA,slightly liberal,too little,too little,about right,about right,about right,about right,too little,NA,about right,about right,about right,4,NA,should be legal,never,pretty happy,poor,in favor,not wrong at all,agree,NA,never
2022,1702,part time,25,someone else,never married,2,1,42,40,19,graduate,biology,MALE,BLACK,large city (over 250k),east north central,average,yes,0,$60k to $75k,east north central,Democrat,voted,Clinton,NA,liberal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,favor,NA,never,not too happy,excellent,NA,NA,NA,yes,NA
2022,1703,part time,14,someone else,never married,10,8,43,14,14,associate,criminology/criminal science,FEMALE,BLACK,small city or town,east north central,far below average,yes,0,$17.5k to $20k,east north central,Independent,voted,Clinton,NA,extremely liberal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,favor,NA,never,very happy,excellent,in favor,not wrong at all,strongly agree,no,never
2022,1704,part time,20,someone else,never married,4,2,32,24,11,less than high school,NA,FEMALE,BLACK,large city (over 250k),east north central,average,yes,0,$25k to $30k,east north central,Independent,voted,Clinton,NA,moderate/middle of road,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,should be legal,every week,pretty happy,fair,in favor,not wrong at all,strongly agree,NA,never
2022,1705,keeping house,NA,someone else,divorced,4,3,56,17,14,high school,NA,FEMALE,BLACK,small city or town,east south atlantic,average,yes,0,NA,east north central,Independent,voted,Clinton,NA,liberal,too little,too little,too little,too little,too little,too little,too little,too little,too little,too much,too much,NA,favor,NA,several times a year,pretty happy,good,in favor,not wrong at all,strongly agree,no,every day
2022,1706,full time,50,someone else,never married,5,0,24,NA,13,high school,NA,MALE,WHITE,large city (over 250k),east north central,below average,yes,0,$60k to $75k,east north central,Independent/Democrat,voted,Clinton,NA,moderate/middle of road,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,less than once a year,pretty happy,good,in favor,not wrong at all,strongly disagree,NA,less than once a week
2022,1707,part time,25,someone else,never married,8,2,39,27,12,high school,NA,FEMALE,BLACK,suburb near large city,east north central,average,yes,0,$1k to $3k,east north central,Democrat,NA,NA,NA,liberal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,favor,NA,several times a week,not too happy,excellent,NA,NA,NA,no,NA
2022,1708,keeping house,NA,someone else,never married,2,0,40,NA,9,less than high school,NA,MALE,WHITE,medium-sized city (50-250k),east north central,below average,yes,0,NA,east north central,Republican,did not vote,NA,Trump,extremely conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,should be legal,never,pretty happy,good,in favor,NA,disagree,NA,never
2022,1709,part time,25,someone else,married,3,3,60,26,15,associate,social sciences,MALE,BLACK,large city (over 250k),east north central,below average,yes,0,$15k to $17.5k,east north central,Democrat,did not vote,NA,Clinton,moderate/middle of road,too much,too little,about right,too little,about right,too little,about right,too little,too much,too much,about right,4,oppose,NA,about once a month,pretty happy,fair,NA,NA,NA,no,NA
2022,1710,full time,70,someone else,never married,4,2,31,28,13,graduate,criminology/criminal science,MALE,BLACK,large city (over 250k),middle atlantic,below average,yes,1,$3k to $4k,west south central,Republican,did not vote,NA,Trump,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,oppose,should not be legal,never,pretty happy,good,NA,NA,NA,yes,NA
2022,1711,full time,40,someone else,never married,2,0,54,NA,16,bachelors,nursing,FEMALE,BLACK,suburb near large city,foreign,average,yes,4,"$170,000 or over",west south central,Independent,voted,Clinton,NA,slightly liberal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,should not be legal,every week,pretty happy,fair,in favor,wrong only sometimes,NA,NA,never
2022,1712,full time,50,someone else,married,6,3,29,20,14,associate,industry and technology,FEMALE,WHITE,large city (over 250k),west south central,below average,yes,2,$75k to $90k,west south central,Democrat,did not vote,NA,Trump,slightly liberal,about right,too little,too little,about right,about right,too little,too little,about right,too little,too much,too much,1,NA,NA,never,pretty happy,good,in favor,not wrong at all,strongly disagree,NA,never
2022,1713,in school,NA,someone else,married,10,1,81,22,16,graduate,business administration,MALE,WHITE,large city (over 250k),east north central,below average,yes,0,$90k to $110k,west south central,Republican,voted,Trump,NA,slightly conservative,about right,too much,about right,too much,too little,too little,about right,about right,too little,too much,too much,NA,oppose,NA,about once or twice a year,pretty happy,fair,in favor,not wrong at all,agree,yes,few times a week
2022,1714,in school,NA,someone else,married,5,6,59,19,18,graduate,business administration,FEMALE,BLACK,medium-sized city (50-250k),south atlantic,below average,yes,0,$130k to $150k,west south central,Independent/Republican,voted,Trump,NA,extremely conservative,too much,too much,too much,too much,too little,too much,too much,about right,about right,too much,too much,7,NA,NA,several times a week,pretty happy,good,in favor,always wrong,strongly agree,NA,never
2022,1715,full time,60,someone else,never married,2,0,37,NA,14,associate,aviation/aeronautics,MALE,WHITE,medium-sized city (50-250k),new england,average,yes,NA,$40k to $50k,west south central,Independent,NA,NA,NA,moderate/middle of road,too little,too little,about right,about right,about right,about right,too little,too much,too much,too much,too much,4,oppose,should be legal,less than once a year,not too happy,good,NA,NA,NA,no,NA
2022,1716,unemployed,NA,someone else,never married,2,2,30,22,12,high school,NA,FEMALE,BLACK,large city (over 250k),east north central,far above average,yes,0,$8k to $10k,west south central,Democrat,voted,Clinton,NA,moderate/middle of road,about right,too little,too little,too little,about right,about right,about right,too little,about right,about right,about right,4,oppose,NA,several times a year,not too happy,good,NA,NA,NA,no,NA
2022,1717,keeping house,NA,someone else,married,1,1,72,20,20,graduate,education,FEMALE,WHITE,small city or town,south atlantic,above average,yes,0,$90k to $110k,west south central,Democrat,voted,Clinton,NA,liberal,about right,too little,too little,about right,about right,too little,too little,too little,about right,about right,too little,1,NA,should be legal,about once a month,not too happy,excellent,in favor,wrong only sometimes,disagree,NA,never
2022,1718,part time,36,self-employed,married,2,2,65,19,13,high school,NA,FEMALE,WHITE,medium-sized city (50-250k),pacific,average,yes,2,$20k to $22.5k,west south central,Republican,voted,Trump,NA,extremely conservative,about right,too much,too much,too much,too little,too little,too little,too little,too little,too much,too much,7,oppose,NA,several times a week,not too happy,good,NA,NA,NA,NA,NA
2022,1719,in school,NA,someone else,married,3,3,42,29,16,bachelors,nursing,MALE,WHITE,suburb near large city,mountain,below average,yes,0,"$170,000 or over",west south central,Democrat,voted,NA,NA,moderate/middle of road,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,never,pretty happy,excellent,in favor,not wrong at all,agree,NA,never
2022,1720,keeping house,NA,someone else,divorced,2,3,48,33,12,high school,NA,FEMALE,OTHER,medium-sized city (50-250k),west south central,average,no,3,$60k to $75k,west south central,Independent,ineligible,NA,Other,NA,too little,too little,too much,too little,too little,too much,too much,too little,too much,too little,too little,5,NA,NA,several times a year,pretty happy,good,oppose,not wrong at all,disagree,NA,less than once a week
2022,1721,full time,40,self-employed,widowed,10,2,72,17,11,high school,NA,FEMALE,WHITE,large city (over 250k),west south central,average,yes,0,$75k to $90k,west south central,Democrat,voted,Clinton,NA,moderate/middle of road,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,should be legal,nearly every week,very happy,excellent,in favor,not wrong at all,strongly disagree,NA,less than once a week
2022,1722,keeping house,NA,NA,married,4,0,NA,NA,14,high school,NA,MALE,OTHER,small city or town,foreign,average,no,NA,NA,west south central,Independent,ineligible,NA,Don't know/can't remember,liberal,too little,too little,too little,too little,too little,about right,too little,too much,too much,too little,too little,NA,oppose,NA,never,very happy,excellent,in favor,not wrong at all,strongly disagree,no,never
2022,1723,part time,15,self-employed,never married,4,8,55,23,15,high school,NA,MALE,WHITE,small city or town,east south atlantic,average,yes,2,$12.5k to $15k,west south central,Independent/Democrat,did not vote,NA,Clinton,slightly liberal,too little,too little,about right,about right,too little,too little,too little,about right,too little,about right,too little,7,favor,NA,less than once a year,pretty happy,good,NA,NA,NA,no,NA
2022,1724,full time,40,someone else,divorced,2,2,36,21,13,high school,NA,MALE,BLACK,small city or town,west south central,below average,yes,0,$30k-$35k,west south central,Independent/Republican,did not vote,NA,Trump,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,should be legal,never,not too happy,fair,oppose,always wrong,agree,NA,few times a week
2022,1725,unemployed,NA,someone else,never married,2,0,NA,NA,15,high school,NA,FEMALE,WHITE,medium-sized city (50-250k),west south central,above average,yes,NA,$20k to $22.5k,west south central,Democrat,voted,Other,NA,extremely liberal,too much,too little,too little,too little,about right,too little,too little,too little,too much,about right,too little,NA,favor,NA,never,pretty happy,good,in favor,not wrong at all,strongly disagree,no,few times a week
2022,1726,full time,40,someone else,divorced,4,4,58,18,10,high school,NA,FEMALE,WHITE,large city (over 250k),west south central,below average,yes,2,$40k to $50k,west south central,Independent/Republican,did not vote,NA,Clinton,moderate/middle of road,about right,about right,too little,too little,too little,too little,about right,about right,about right,too much,too little,1,favor,should be legal,less than once a year,pretty happy,good,NA,NA,NA,no,NA
2022,1727,other,NA,someone else,widowed,7,4,64,23,14,associate,general sciences,MALE,WHITE,large city (over 250k),west south central,below average,yes,3,$15k to $17.5k,west south central,Democrat,voted,Clinton,NA,extremely liberal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,oppose,NA,several times a year,pretty happy,fair,in favor,not wrong at all,disagree,yes,less than once a week
2022,1728,full time,50,someone else,never married,1,6,50,34,8,less than high school,NA,MALE,OTHER,large city (over 250k),west south central,average,no,0,$6k to $7k,west south central,Independent/Republican,ineligible,NA,Don't know/can't remember,extremely liberal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,favor,NA,about once a month,very happy,fair,oppose,almost always wrong,strongly agree,no,less than once a week
2022,1729,unemployed,NA,someone else,separated,9,2,66,25,10,less than high school,NA,MALE,WHITE,large city (over 250k),west south central,far below average,yes,NA,$20k to $22.5k,west south central,Independent/Democrat,did not vote,NA,Clinton,liberal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,should be legal,about once or twice a year,not too happy,fair,in favor,wrong only sometimes,agree,NA,never
2022,1730,unemployed,NA,someone else,separated,3,4,35,16,10,less than high school,NA,FEMALE,WHITE,large city (over 250k),west south central,below average,yes,3,$25k to $30k,west south central,Independent,did not vote,NA,Don't know/can't remember,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,oppose,NA,never,pretty happy,fair,in favor,not wrong at all,agree,no,never
2022,1731,full time,40,someone else,married,1,3,64,20,14,associate,nursing,MALE,WHITE,medium-sized city (50-250k),west south central,below average,yes,2,$90k to $110k,west south central,Republican,voted,Trump,NA,conservative,about right,too little,too little,too much,too little,about right,too little,too much,too little,too much,too much,1,NA,NA,nearly every week,pretty happy,excellent,oppose,almost always wrong,agree,NA,less than once a week
2022,1732,full time,43,someone else,married,3,5,54,21,6,less than high school,NA,MALE,WHITE,small city or town,west south central,average,yes,1,$35k to $40k,west south central,Republican,did not vote,NA,Trump,moderate/middle of road,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,oppose,should be legal,less than once a year,pretty happy,good,NA,NA,NA,no,NA
2022,1733,on leave,NA,someone else,married,7,2,34,27,2,less than high school,NA,MALE,WHITE,open country but not a farm,foreign,far below average,no,4,$20k to $22.5k,west south central,Democrat,did not vote,NA,Clinton,conservative,about right,too little,too little,about right,too little,too little,about right,about right,about right,too little,about right,1,favor,NA,about once or twice a year,very happy,fair,NA,NA,NA,no,NA
2022,1734,full time,40,someone else,married,3,1,51,27,12,high school,NA,MALE,WHITE,medium-sized city (50-250k),west south central,average,yes,0,$90k to $110k,west south central,Independent,voted,NA,NA,moderate/middle of road,about right,about right,too little,too little,too little,too little,too little,too little,about right,too much,too little,1,NA,NA,less than once a year,very happy,good,in favor,almost always wrong,agree,NA,less than once a week
2022,1735,keeping house,NA,someone else,married,4,2,34,30,14,associate,liberal arts,MALE,WHITE,large city (over 250k),west south central,below average,no,4,$90k to $110k,west south central,Republican,ineligible,NA,Trump,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,should be legal,every week,very happy,good,in favor,not wrong at all,agree,NA,never
2022,1736,full time,40,someone else,married,2,2,24,26,16,associate,liberal arts,FEMALE,WHITE,open country but not a farm,west south central,below average,yes,0,$50k to $60k,west south central,Independent/Republican,voted,Trump,NA,conservative,too little,too little,too little,too much,too little,too little,too little,about right,about right,too little,too much,1,oppose,should be legal,less than once a year,very happy,good,NA,NA,NA,yes,NA
2022,1737,full time,40,someone else,married,12,1,66,20,12,high school,NA,MALE,WHITE,farm,west south central,far below average,yes,NA,$90k to $110k,west south central,Democrat,did not vote,NA,Clinton,moderate/middle of road,too much,too little,too little,too little,too little,too little,too little,about right,too little,too much,too little,3,favor,should be legal,several times a year,very happy,fair,NA,NA,NA,yes,NA
2022,1738,full time,40,self-employed,married,5,1,44,23,13,high school,NA,MALE,WHITE,small city or town,west south central,below average,yes,0,$75k to $90k,west south central,Republican,voted,Trump,NA,extremely conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,oppose,NA,several times a week,very happy,fair,NA,NA,NA,yes,NA
2022,1739,part time,16,someone else,widowed,5,4,62,15,12,high school,NA,FEMALE,WHITE,open country but not a farm,west south central,average,yes,0,$110k to $130k,west south central,Republican,voted,Trump,NA,extremely conservative,too much,too little,too little,NA,too little,too little,about right,about right,too little,too much,too much,NA,oppose,NA,every week,not too happy,good,in favor,always wrong,strongly agree,yes,never
2022,1740,keeping house,NA,NA,married,4,7,40,16,12,high school,NA,FEMALE,WHITE,large city (over 250k),west south central,below average,no,4,NA,west south central,Independent,did not vote,NA,NA,conservative,about right,too little,too little,too little,too little,too little,too little,NA,too much,too much,too little,1,NA,should not be legal,2-3 times a month,not too happy,fair,in favor,always wrong,agree,NA,never
2022,1741,full time,37,someone else,married,3,2,55,24,13,associate,dentistry,FEMALE,WHITE,farm,east north central,average,yes,0,NA,east north central,Republican,voted,Trump,NA,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,oppose,NA,nearly every week,very happy,good,NA,NA,NA,yes,NA
2022,1742,full time,50,someone else,married,4,3,43,20,12,high school,NA,FEMALE,WHITE,large city (over 250k),east north central,average,yes,0,$130k to $150k,east north central,Republican,voted,Trump,NA,moderate/middle of road,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,never,pretty happy,good,in favor,not wrong at all,strongly agree,NA,never
2022,1743,full time,40,someone else,divorced,5,4,54,19,12,high school,NA,MALE,WHITE,medium-sized city (50-250k),east north central,average,yes,0,$50k to $60k,east north central,Independent,ineligible,NA,Other,moderate/middle of road,about right,about right,too little,too little,too little,about right,too little,about right,too much,too much,about right,5,NA,NA,less than once a year,not too happy,good,in favor,not wrong at all,agree,NA,never
2022,1744,in school,NA,self-employed,married,3,2,67,22,16,bachelors,foreign language,MALE,WHITE,small city or town,east north central,below average,yes,0,$75k to $90k,east north central,Independent/Republican,voted,Trump,NA,conservative,too little,too little,about right,about right,too little,too little,too much,about right,too little,too much,too little,NA,favor,NA,several times a week,very happy,excellent,oppose,always wrong,strongly agree,no,never
2022,1745,full time,50,someone else,married,5,1,59,41,16,bachelors,economics,MALE,WHITE,open country but not a farm,east north central,average,yes,0,$110k to $130k,east north central,Independent/Republican,voted,Trump,NA,slightly conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,should be legal,several times a year,not too happy,fair,in favor,not wrong at all,agree,NA,less than once a week
2022,1746,full time,40,someone else,divorced,4,2,55,32,13,high school,NA,FEMALE,WHITE,small city or town,east north central,average,yes,0,$30k-$35k,east north central,Independent/Republican,NA,NA,NA,moderate/middle of road,about right,about right,too little,NA,too little,too little,too little,too little,about right,too much,too much,NA,oppose,NA,2-3 times a month,pretty happy,excellent,in favor,wrong only sometimes,disagree,no,every day
2022,1747,keeping house,NA,someone else,never married,4,1,44,29,13,high school,NA,FEMALE,BLACK,small city or town,west south central,average,yes,0,$10k to $12.5k,east north central,Independent/Democrat,did not vote,NA,Don't know/can't remember,moderate/middle of road,NA,too little,too little,NA,too little,too little,too little,NA,too little,NA,too little,4,NA,should be legal,NA,not too happy,fair,in favor,not wrong at all,disagree,NA,less than once a week
2022,1748,full time,45,someone else,divorced,2,2,45,22,13,high school,NA,FEMALE,WHITE,suburb near large city,pacific,average,yes,0,$110k to $130k,east north central,Republican,did not vote,NA,Trump,moderate/middle of road,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,oppose,NA,less than once a year,pretty happy,excellent,NA,NA,NA,no,NA
2022,1749,part time,30,someone else,married,3,2,NA,25,13,high school,NA,FEMALE,WHITE,open country but not a farm,east north central,average,yes,0,$110k to $130k,east north central,Independent,voted,Trump,NA,moderate/middle of road,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,favor,NA,several times a year,pretty happy,good,in favor,not wrong at all,agree,yes,every day
2022,1750,full time,40,someone else,married,0,1,NA,35,18,graduate,criminology/criminal science,FEMALE,WHITE,suburb near large city,middle atlantic,above average,yes,0,$110k to $130k,east north central,Independent,voted,Trump,NA,moderate/middle of road,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,favor,NA,every week,very happy,excellent,NA,NA,NA,no,NA
2022,1751,full time,35,self-employed,never married,1,0,33,NA,16,graduate,electronics,FEMALE,WHITE,suburb near large city,west south central,average,yes,0,$60k to $75k,east north central,Democrat,voted,Clinton,NA,liberal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,favor,NA,never,pretty happy,good,in favor,not wrong at all,disagree,no,few times a week
2022,1752,in school,NA,someone else,separated,6,5,65,17,14,high school,NA,FEMALE,WHITE,small city or town,east north central,above average,yes,2,$35k to $40k,east north central,Democrat,voted,Clinton,NA,liberal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,favor,NA,several times a year,pretty happy,excellent,in favor,not wrong at all,disagree,no,once a week
2022,1753,keeping house,NA,someone else,married,1,2,45,35,16,bachelors,sociology,MALE,WHITE,small city or town,east north central,below average,yes,0,$110k to $130k,east north central,Independent/Democrat,voted,Clinton,NA,liberal,too little,too little,too little,too little,about right,too little,too little,too little,too much,too little,too little,1,NA,should be legal,never,not too happy,fair,in favor,not wrong at all,disagree,NA,every day
2022,1754,full time,45,someone else,married,3,0,38,NA,16,bachelors,art,MALE,WHITE,large city (over 250k),east north central,below average,yes,0,$60k to $75k,east north central,Independent/Democrat,voted,Other,NA,extremely liberal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,should be legal,about once or twice a year,very happy,good,in favor,not wrong at all,strongly disagree,NA,every day
